ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
12490,AF,Refused221g,2023AF41892,LUA,2023-Aug-02,,,31
13681,AF,Issued,2023AF41924,PRS,2023-Aug-02,2023-Aug-23,21,21
12492,AF,Refused221g,2023AF41941,CSB,2023-Aug-01,,,32
13683,AF,Issued,2023AF42124,CSB,2023-Aug-01,2023-Aug-17,16,16
13004,AF,Issued,2023AF42191,BNK,2023-Aug-01,2023-Aug-11,10,10
14531,AF,Issued,2023AF42517,PRS,2023-Aug-03,2023-Aug-31,28,28
13689,AF,Issued,2023AF42854,CSB,2023-Aug-01,2023-Aug-17,16,16
13690,AF,Issued,2023AF42916,CSB,2023-Aug-01,2023-Aug-17,16,16
13693,AF,Issued,2023AF43169,CSB,2023-Aug-01,2023-Aug-25,24,24
12502,AF,Refused221g,2023AF43444,CSB,2023-Aug-01,,,32
14535,AF,AP,2023AF43501,CSB,2023-Aug-01,2023-Sep-01,31,31
12504,AF,Refused221g,2023AF43523,CSB,2023-Aug-01,,,32
13699,AF,Issued,2023AF43545,CSB,2023-Aug-01,2023-Aug-24,23,23
14537,AF,AP,2023AF43635,CSB,2023-Aug-04,2023-Sep-01,28,28
14538,AF,Issued,2023AF43699,CSB,2023-Aug-04,2023-Aug-29,25,25
13708,AF,Issued,2023AF43890,CSB,2023-Aug-01,2023-Aug-25,24,24
13018,AF,AP,2023AF43902,ALG,2023-Aug-03,2023-Aug-09,6,6
13019,AF,AP,2023AF43911,CSB,2023-Aug-04,2023-Aug-11,7,7
14541,AF,AP,2023AF43914,CSB,2023-Aug-04,2023-Sep-01,28,28
12512,AF,Refused221g,2023AF43961,CSB,2023-Aug-04,,,29
13711,AF,Issued,2023AF44151,CSB,2023-Aug-04,2023-Aug-24,20,20
13024,AF,Issued,2023AF44239,LUA,2023-Aug-02,2023-Aug-10,8,8
12515,AF,Refused221g,2023AF44381,CSB,2023-Aug-01,,,32
12516,AF,Refused221g,2023AF44451,CSB,2023-Aug-01,,,32
13719,AF,Issued,2023AF44485,CSB,2023-Aug-04,2023-Aug-24,20,20
13029,AF,AP,2023AF44632,CSB,2023-Aug-01,2023-Aug-11,10,10
13721,AF,Issued,2023AF44823,CSB,2023-Aug-01,2023-Aug-24,23,23
13722,AF,Issued,2023AF44846,CSB,2023-Aug-04,2023-Aug-17,13,13
13724,AF,Issued,2023AF44872,CSB,2023-Aug-04,2023-Aug-22,18,18
13725,AF,Issued,2023AF44892,ALG,2023-Aug-01,2023-Aug-17,16,16
12524,AF,Refused221g,2023AF44913,CSB,2023-Aug-04,,,29
13032,AF,AP,2023AF45003,CSB,2023-Aug-04,2023-Aug-11,7,7
13036,AF,AP,2023AF45248,CSB,2023-Aug-01,2023-Aug-11,10,10
12527,AF,Refused221g,2023AF45309,CSB,2023-Aug-04,,,29
12528,AF,Refused221g,2023AF45330,CSB,2023-Aug-04,,,29
12529,AF,Refused221g,2023AF45492,CSB,2023-Aug-04,,,29
13038,AF,AP,2023AF45546,CSB,2023-Aug-01,2023-Aug-11,10,10
12531,AF,Refused221g,2023AF45559,ABD,2023-Jul-31,,,33
13736,AF,AP,2023AF45637,CSB,2023-Aug-04,2023-Aug-25,21,21
14547,AF,Issued,2023AF45671,PRS,2023-Aug-03,2023-Aug-31,28,28
13738,AF,Issued,2023AF45745,CSB,2023-Aug-04,2023-Aug-17,13,13
12535,AF,Refused221g,2023AF45763,CSB,2023-Aug-04,,,29
13739,AF,Issued,2023AF45838,CSB,2023-Aug-01,2023-Aug-24,23,23
13740,AF,Issued,2023AF45849,CSB,2023-Aug-04,2023-Aug-24,20,20
14550,AF,Issued,2023AF45853,CSB,2023-Aug-04,2023-Aug-29,25,25
12539,AF,Refused221g,2023AF45914,LUS,2023-Aug-03,,,30
13743,AF,Refused,2023AF46006,CSB,2023-Aug-01,2023-Aug-24,23,23
12541,AF,Refused221g,2023AF46142,CSB,2023-Aug-01,,,32
13749,AF,AP,2023AF46214,CSB,2023-Aug-01,2023-Aug-25,24,24
12543,AF,Refused221g,2023AF46219,CSB,2023-Aug-01,,,32
13752,AF,Issued,2023AF46415,CSB,2023-Aug-04,2023-Aug-25,21,21
13753,AF,AP,2023AF46428,CSB,2023-Aug-04,2023-Aug-25,21,21
14553,AF,Issued,2023AF46446,CSB,2023-Aug-04,2023-Aug-30,26,26
12547,AF,Refused221g,2023AF46447,CSB,2023-Aug-04,,,29
13755,AF,AP,2023AF46484,CSB,2023-Aug-04,2023-Aug-25,21,21
12550,AF,Refused221g,2023AF46523,LUA,2023-Aug-02,,,31
13053,AF,AP,2023AF46638,CSB,2023-Aug-01,2023-Aug-11,10,10
14555,AF,Issued,2023AF46656,CSB,2023-Aug-04,2023-Aug-31,27,27
14556,AF,Issued,2023AF46688,CSB,2023-Aug-04,2023-Aug-29,25,25
13756,AF,Issued,2023AF46821,CSB,2023-Aug-01,2023-Aug-17,16,16
12556,AF,Refused221g,2023AF46866,CSB,2023-Aug-04,,,29
14557,AF,Issued,2023AF46903,CSB,2023-Aug-04,2023-Aug-30,26,26
13757,AF,Issued,2023AF46908,CSB,2023-Aug-04,2023-Aug-17,13,13
13762,AF,Issued,2023AF47169,CSB,2023-Aug-04,2023-Aug-24,20,20
13763,AF,Issued,2023AF47208,CSB,2023-Aug-01,2023-Aug-17,16,16
12562,AF,Refused221g,2023AF47281,CSB,2023-Aug-01,,,32
14558,AF,Issued,2023AF47285,CSB,2023-Aug-01,2023-Aug-29,28,28
13765,AF,Issued,2023AF47299,CSB,2023-Aug-04,2023-Aug-25,21,21
12565,AF,Refused221g,2023AF47301,CSB,2023-Aug-04,,,29
13770,AF,Issued,2023AF47761,CSB,2023-Aug-04,2023-Aug-17,13,13
13772,AF,Issued,2023AF48142,RDJ,2023-Aug-04,2023-Aug-17,13,13
12569,AF,Refused221g,2023AF49374,ABD,2023-Aug-03,,,30
12570,AF,Refused221g,2023AF49474,ABD,2023-Jul-31,,,33
13064,AF,Issued,2023AF49846,ABD,2023-Aug-02,2023-Aug-11,9,9
12574,AF,Refused221g,2023AF50714,COT,2023-Aug-02,,,31
12575,AF,AP,2023AF50891,COT,2023-Aug-04,,,29
13783,AF,Issued,2023AF50904,CRO,2023-Aug-03,2023-Aug-16,13,13
12578,AF,Refused221g,2023AF52160,DRS,2023-Aug-03,,,30
13070,AF,AP,2023AF53434,CSB,2023-Aug-04,2023-Aug-11,7,7
13071,AF,AP,2023AF55033,COT,2023-Aug-02,2023-Aug-10,8,8
12583,AF,Refused221g,2023AF55894,COT,2023-Aug-02,,,31
12585,AF,Refused221g,2023AF56151,COT,2023-Aug-03,,,30
13822,AF,Issued,2023AF57622,CSB,2023-Aug-04,2023-Aug-24,20,20
14589,AF,Issued,2023AF57699,CSB,2023-Aug-04,2023-Aug-29,25,25
12589,AF,Refused221g,2023AF57814,CSB,2023-Aug-04,,,29
13077,AF,Issued,2023AF59262,LOM,2023-Aug-01,2023-Aug-11,10,10
12592,AF,Refused221g,2023AF59747,DRS,2023-Aug-03,,,30
12593,AF,Refused221g,2023AF59792,COT,2023-Aug-02,,,31
12594,AF,Refused221g,2023AF59870,COT,2023-Aug-02,,,31
12595,AF,Refused221g,2023AF60386,DRS,2023-Aug-04,,,29
12597,AF,Refused221g,2023AF60952,DRS,2023-Aug-03,,,30
13845,AF,Issued,2023AF61916,COT,2023-Aug-02,2023-Aug-16,14,14
12600,AS,Issued,2023AS12,ABD,2023-Aug-02,,,31
12603,AS,Issued,2023AS672,ANK,2023-01-01,2023-Aug-03,213,213
12604,AS,Issued,2023AS857,ABD,2023-Aug-01,,,32
12605,AS,AP,2023AS1152,CLM,2023-Aug-03,,,30
12606,AS,Refused221g,2023AS1470,YRV,2023-Aug-04,,,29
12607,AS,Refused221g,2023AS1690,ABD,2023-Aug-04,,,29
12608,AS,Refused221g,2023AS1741,ABD,2023-Aug-04,,,29
12609,AS,Refused221g,2023AS1919,ABD,2023-Aug-01,,,32
12610,AS,Refused221g,2023AS2188,ABD,2023-Aug-03,,,30
14653,AS,Issued,2023AS2354,AMM,2023-Aug-02,2023-Aug-30,28,28
12612,AS,Refused221g,2023AS3211,NPL,2023-Aug-01,,,32
12613,AS,Refused221g,2023AS4364,ABD,2023-Aug-01,,,32
13894,AS,Issued,2023AS4403,ABD,2023-Aug-03,2023-Aug-23,20,20
12616,AS,Issued,2023AS4810,ABD,2023-Aug-04,,,29
12617,AS,Refused221g,2023AS4842,ABD,2023-Aug-03,,,30
12618,AS,Refused221g,2023AS4880,ABD,2023-Aug-01,,,32
12620,AS,Refused221g,2023AS5144,ABD,2023-Aug-04,,,29
12623,AS,Refused221g,2023AS6241,YRV,2023-Aug-03,,,30
12625,AS,Refused221g,2023AS6951,YRV,2023-Aug-04,,,29
12628,AS,Refused221g,2023AS7755,YRV,2023-Aug-03,,,30
12632,AS,Ready,2023AS8387,RID,2023-Aug-02,,,31
12633,AS,Refused221g,2023AS8646,RID,2023-Jul-31,,,33
12636,AS,Refused221g,2023AS8806,YRV,2023-Aug-03,,,30
12637,AS,Refused221g,2023AS9203,ABD,2023-Aug-04,,,29
14757,AS,AP,2023AS10752,ISL,2023-Aug-03,2023-Sep-01,29,29
12642,AS,Refused221g,2023AS10894,ISL,2023-Aug-03,,,30
12643,AS,Refused221g,2023AS10921,YRV,2023-Aug-03,,,30
14758,AS,Issued,2023AS11265,PRS,2023-Aug-04,2023-Aug-31,27,27
12645,AS,Refused221g,2023AS11501,NPL,2023-Aug-04,,,29
13976,AS,Issued,2023AS11602,MTL,2023-Aug-02,2023-Aug-23,21,21
12647,AS,Refused221g,2023AS12504,YRV,2023-Aug-04,,,29
12648,AS,Refused221g,2023AS12542,YRV,2023-Aug-03,,,30
13146,AS,Issued,2023AS12544,YRV,2023-Aug-03,2023-Aug-10,7,7
12650,AS,Refused221g,2023AS12566,YRV,2023-Aug-03,,,30
12651,AS,Refused221g,2023AS12577,YRV,2023-Aug-03,,,30
12652,AS,Refused221g,2023AS12594,YRV,2023-Aug-04,,,29
12653,AS,Refused221g,2023AS12658,MTL,2023-Aug-04,,,29
12654,AS,Refused221g,2023AS12659,YRV,2023-Aug-04,,,29
12655,AS,Refused221g,2023AS12677,YRV,2023-Aug-04,,,29
12656,AS,Refused221g,2023AS12734,YRV,2023-Aug-04,,,29
12657,AS,Refused221g,2023AS12739,YRV,2023-Aug-03,,,30
13990,AS,Issued,2023AS12812,YRV,2023-Aug-03,2023-Aug-18,15,15
12659,AS,Refused221g,2023AS12831,YRV,2023-Aug-03,,,30
12660,AS,Issued,2023AS12902,YRV,2023-Aug-04,,,29
12661,AS,Refused221g,2023AS12907,YRV,2023-Aug-03,,,30
12662,AS,Issued,2023AS13114,MTL,2023-Aug-04,,,29
12663,AS,Refused221g,2023AS13219,YRV,2023-Aug-03,,,30
13163,AS,Issued,2023AS13300,MTL,2023-Aug-04,2023-Aug-08,4,4
12666,AS,Refused221g,2023AS13553,FRN,2023-Aug-03,,,30
14769,AS,Issued,2023AS13665,MTL,2023-Aug-04,2023-Sep-01,28,28
12668,AS,Refused221g,2023AS13990,MTL,2023-Aug-04,,,29
12671,AS,Refused221g,2023AS15162,PHP,2023-Aug-03,,,30
14028,AS,Issued,2023AS17556,ISL,2023-Aug-04,2023-Aug-17,13,13
14786,AS,Issued,2023AS17723,ISL,2023-Aug-04,2023-Aug-29,25,25
12677,AS,Refused221g,2023AS17733,ISL,2023-Aug-04,,,29
12682,AS,Refused221g,2023AS18509,CLM,2023-Aug-03,,,30
13193,AS,Issued,2023AS18578,BDP,2023-Aug-04,2023-Aug-11,7,7
12684,AS,Refused221g,2023AS18808,BGH,2023-Jul-31,,,33
12689,AS,Refused221g,2023AS20155,KLL,2023-Aug-03,,,30
14812,AS,AP,2023AS20959,BGH,2023-Jul-31,2023-Aug-30,30,30
14070,EU,Issued,2023EU1265,ATA,2023-Aug-03,2023-Aug-23,20,20
13215,EU,AP,2023EU3260,BKK,2023-Jul-31,2023-Aug-09,9,9
12700,EU,Refused221g,2023EU4549,WRW,2023-Aug-03,,,30
12701,EU,Refused221g,2023EU4650,BKK,2023-Aug-04,,,29
12702,EU,Refused221g,2023EU5248,FRN,2023-Aug-03,,,30
12703,EU,AP,2023EU5628,BKK,2023-01-01,2023-Aug-02,212,212
12711,EU,Refused,2023EU8663,SOF,2023-Aug-02,,,31
12712,EU,Issued,2023EU8679,THT,2023-Aug-04,,,29
14096,EU,Issued,2023EU8853,THT,2023-Aug-03,2023-Aug-18,15,15
12718,EU,Refused221g,2023EU9806,ANK,2023-Aug-04,,,29
14112,EU,Issued,2023EU10026,ANK,2023-Aug-04,2023-Aug-22,18,18
14118,EU,Issued,2023EU10182,ANK,2023-Aug-04,2023-Aug-15,11,11
12723,EU,Refused221g,2023EU10362,ANK,2023-Aug-04,,,29
14844,EU,Issued,2023EU10830,ANK,2023-Aug-04,2023-Sep-01,28,28
14125,EU,Issued,2023EU11091,ANK,2023-Aug-04,2023-Aug-21,17,17
12727,EU,Refused221g,2023EU11095,TBL,2023-Aug-04,,,29
14128,EU,Issued,2023EU11421,ANK,2023-Aug-04,2023-Aug-22,18,18
13242,EU,Issued,2023EU11664,BCH,2023-Aug-04,2023-Aug-07,3,3
13243,EU,Issued,2023EU11667,ANK,2023-Aug-04,2023-Aug-10,6,6
14132,EU,Issued,2023EU11745,ANK,2023-Aug-04,2023-Aug-17,13,13
14134,EU,Issued,2023EU11815,BKK,2023-Aug-04,2023-Aug-22,18,18
14140,EU,Issued,2023EU12615,BKK,2023-Jul-31,2023-Aug-16,16,16
13246,EU,Issued,2023EU12768,BKK,2023-Aug-04,2023-Aug-09,5,5
14852,EU,Issued,2023EU15120,MST,2023-Aug-03,2023-Aug-31,28,28
13256,EU,Issued,2023EU15277,BCH,2023-Aug-03,2023-Aug-07,4,4
12743,EU,Issued,2023EU15901,TBL,2023-Aug-04,,,29
14155,EU,Issued,2023EU16343,TBL,2023-Aug-02,2023-Aug-16,14,14
14860,EU,Issued,2023EU17486,TBL,2023-Aug-02,2023-Aug-30,28,28
12752,EU,Ready,2023EU19439,BKK,2023-Aug-02,,,31
13266,EU,AP,2023EU19811,WRW,2023-Aug-03,2023-Aug-11,8,8
13267,EU,Issued,2023EU19831,BCH,2023-Aug-04,2023-Aug-07,3,3
12757,EU,Refused221g,2023EU20863,YRV,2023-Aug-03,,,30
13270,EU,AP,2023EU21047,TIA,2023-Aug-01,2023-Aug-08,7,7
