ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
9971,AF,Issued,2022AF26167,ADD,2022-Jul-29,2022-Aug-04,6,6
17014,AF,Issued,2022AF26744,ALG,2022-Jul-28,2022-Sep-29,63,63
9976,AF,Issued,2022AF27602,ADD,2022-Jul-29,2022-Aug-05,7,7
10875,AF,Issued,2022AF27710,HRE,2022-Jul-27,2022-Aug-11,15,15
11669,AF,Administrative Processing,2022AF27817,HRE,2022-Jul-27,2022-Aug-19,23,23
15019,AF,Issued,2022AF28078,LUA,2022-Jul-27,2022-Sep-14,49,49
14204,AF,Administrative Processing,2022AF28125,KNG,2022-Jul-29,2022-Sep-09,42,42
13461,AF,Issued,2022AF28126,JHN,2022-Jul-28,2022-Aug-31,34,34
11675,AF,Refused,2022AF28437,JHN,2022-Jul-28,2022-Aug-19,22,22
14206,AF,Administrative Processing,2022AF28524,JHN,2022-Jul-28,2022-Sep-09,43,43
9181,AF,Refused,2022AF28585,LUA,2022-Jul-27,,,402
14208,AF,Issued,2022AF28990,ADD,2022-Jul-29,2022-Sep-09,42,42
17039,AF,Issued,2022AF29232,ALG,2022-Jul-26,2022-Sep-29,65,65
10892,AF,Issued,2022AF31214,HRE,2022-Jul-27,2022-Aug-11,15,15
10003,AF,Administrative Processing,2022AF31745,ALG,2022-Jul-26,2022-Aug-04,9,9
10005,AF,Ready,2022AF32032,ADD,2022-Jul-29,2022-Aug-04,6,6
14235,AF,Issued,2022AF35253,SOF,2022-Jul-29,2022-Sep-08,41,41
10050,AF,Issued,2022AF45066,LUS,2022-Jul-29,2022-Aug-05,7,7
17173,AF,Issued,2022AF47113,BMB,2022-Jul-29,2022-Oct-01,64,64
10069,AF,Administrative Processing,2022AF53405,CSB,2022-Jul-29,2022-Aug-04,6,6
14320,AF,Issued,2022AF53455,CSB,2022-Jul-29,2022-Sep-08,41,41
9204,AF,Refused,2022AF54612,CSB,2022-Jul-29,,,400
10991,AF,Issued,2022AF54839,CSB,2022-Jul-29,2022-Aug-10,12,12
10085,AF,Administrative Processing,2022AF57365,CSB,2022-Jul-29,2022-Aug-04,6,6
10087,AF,Issued,2022AF58591,CSB,2022-Jul-29,2022-Aug-03,5,5
